Round
 , A, B, C, D, E, F, G, H
A, -, -, -, -, 4, 3, 2, 1
B, -, -, -, -, 3, 4, 1, 2
C, -, -, -, -, 2, 1, 4, 3
D, -, -, -, -, 1, 2, 3, 4
E, 4, 3, 2, 1, -, -, -, -
F, 3, 4, 1, 2, -, -, -, -
G, 2, 1, 4, 3, -, -, -, -
H, 1, 2, 3, 4, -, -, -, -

Black/White
 , A, B, C, D, E, F, G, H
A, -, -, -, -, w, w, w, w
B, -, -, -, -, w, w, w, w
C, -, -, -, -, w, w, w, w
D, -, -, -, -, w, w, w, w
E, b, b, b, b, -, -, -, -
F, b, b, b, b, -, -, -, -
G, b, b, b, b, -, -, -, -
H, b, b, b, b, -, -, -, -

Players
A, "きふわらちぇび2026"
B, "きふわらすと2026"
C, "きふわらび2026"
D, "きふわらけい2026"
E, "きふわらぎょく2026"
F, "きふわらかく2026"
G, "きふわらずさ2026"
H, "きふわらね2026"

END
