calculationMode,blackAdvantagePercent,playerName,originalElo,effectiveElo,eloDelta,blackCount,whiteCount,blackWinRatePercent,whiteWinRatePercent,championshipProbabilityPercent,averagePlace,place1Percent,place1Count,place2Percent,place2Count,place3Percent,place3Count,place4Percent,place4Count,place5Percent,place5Count,place6Percent,place6Count,place7Percent,place7Count,place8Percent,place8Count,place9Percent,place9Count,place10Percent,place10Count,place11Percent,place11Count,place12Percent,place12Count,place13Percent,place13Count,place14Percent,place14Count,place15Percent,place15Count,place16Percent,place16Count
"シミュレーション (200,000回)",75.00,飛,5050,4859,-191,0,8,,55.52,9.12,7.176,9.12,18233.335,8.36,16719.938,8.07,16147.191,7.79,15572.414,7.64,15285.976,7.34,14686.470,6.95,13906.445,6.69,13385.147,6.53,13051.918,6.13,12260.845,5.58,11162.693,5.11,10227.617,4.73,9452.223,4.10,8198.138,3.36,6729.892,2.49,4979.757
"シミュレーション (200,000回)",75.00,角,5030,4839,-191,0,8,,52.71,7.01,7.819,7.01,14025.584,7.02,14041.759,7.01,14018.348,7.07,14144.518,7.12,14237.739,7.01,14022.094,6.91,13829.230,6.89,13776.325,6.82,13638.421,6.57,13139.348,6.20,12404.164,5.91,11814.290,5.57,11138.075,5.02,10033.509,4.37,8733.873,3.50,7002.722
"シミュレーション (200,000回)",75.00,玉,5010,4819,-191,0,8,,49.88,5.22,8.502,5.22,10438.756,5.63,11267.145,5.95,11906.864,6.26,12528.048,6.50,12992.377,6.63,13258.466,6.73,13465.831,6.84,13688.150,6.85,13698.987,6.84,13686.100,6.77,13531.313,6.65,13305.001,6.49,12983.737,6.16,12324.699,5.69,11376.628,4.77,9547.896
"シミュレーション (200,000回)",75.00,金,4990,4799,-191,0,8,,47.05,3.83,9.161,3.83,7663.420,4.49,8983.434,4.99,9985.603,5.44,10881.806,5.71,11429.339,5.99,11983.437,6.39,12789.242,6.70,13407.747,6.86,13710.961,7.05,14098.673,7.23,14464.758,7.34,14672.814,7.35,14697.627,7.28,14556.948,6.98,13959.269,6.36,12714.922
"シミュレーション (200,000回)",75.00,銀,4970,4779,-191,0,8,,44.25,2.80,9.807,2.80,5594.452,3.50,6996.681,4.09,8186.863,4.62,9243.577,5.00,10006.003,5.41,10818.358,5.91,11820.333,6.31,12623.642,6.60,13197.352,7.01,14026.917,7.50,15009.338,7.85,15708.309,8.13,16266.138,8.39,16783.054,8.52,17041.869,8.34,16677.113
"シミュレーション (200,000回)",75.00,桂,4950,4759,-191,0,8,,41.48,1.98,10.462,1.98,3955.483,2.68,5353.530,3.26,6517.320,3.78,7569.424,4.17,8348.534,4.68,9367.987,5.39,10783.052,5.88,11756.430,6.19,12379.348,6.79,13587.695,7.58,15162.354,8.20,16405.477,8.79,17572.282,9.55,19104.747,10.31,20617.305,10.76,21519.031
"シミュレーション (200,000回)",75.00,香,4930,4739,-191,0,8,,38.76,1.39,11.091,1.39,2773.778,1.99,3987.209,2.56,5110.653,3.05,6108.933,3.42,6833.096,4.00,7995.292,4.74,9477.801,5.29,10584.484,5.73,11457.267,6.43,12866.833,7.48,14961.421,8.33,16662.635,9.18,18364.136,10.41,20815.954,11.97,23945.335,14.03,28055.173
"シミュレーション (200,000回)",75.00,歩,4910,4719,-191,0,8,,36.10,0.97,11.669,0.97,1937.562,1.46,2928.329,1.95,3891.000,2.39,4780.204,2.81,5613.050,3.39,6780.552,4.17,8330.816,4.67,9336.608,5.11,10224.198,5.95,11902.796,7.18,14362.768,8.24,16486.203,9.35,18705.139,11.20,22409.240,13.67,27333.035,17.49,34978.501
"シミュレーション (200,000回)",75.00,きりん,4890,5081,+191,8,0,63.90,,17.50,5.315,17.50,34990.434,13.69,27387.880,11.20,22390.335,9.39,18770.304,8.24,16479.564,7.20,14398.584,5.99,11981.477,5.17,10336.771,4.74,9486.552,4.16,8322.390,3.36,6727.521,2.75,5498.135,2.36,4713.971,1.91,3823.383,1.44,2874.134,0.91,1818.565
"シミュレーション (200,000回)",75.00,ぞう,4870,5061,+191,8,0,61.24,,13.87,5.919,13.87,27747.897,11.99,23973.001,10.48,20954.645,9.21,18424.228,8.32,16630.238,7.46,14915.634,6.40,12792.133,5.72,11432.056,5.31,10619.724,4.76,9515.541,4.03,8055.065,3.49,6979.009,3.08,6169.927,2.55,5109.099,1.96,3923.154,1.38,2758.649
"シミュレーション (200,000回)",75.00,らいおん,4850,5041,+191,8,0,58.52,,10.93,6.535,10.93,21868.787,10.30,20603.302,9.50,19005.150,8.68,17367.982,8.17,16347.042,7.56,15123.332,6.78,13562.529,6.23,12464.517,5.89,11785.378,5.38,10764.894,4.69,9380.380,4.18,8366.431,3.76,7527.978,3.22,6443.042,2.69,5378.886,2.01,4010.368
"シミュレーション (200,000回)",75.00,いぬ,4830,5021,+191,8,0,55.75,,8.35,7.190,8.35,16700.846,8.59,17171.688,8.45,16891.334,8.12,16232.092,7.81,15612.840,7.46,14917.020,6.99,13985.136,6.60,13192.811,6.34,12675.452,5.96,11910.650,5.38,10751.180,4.94,9877.242,4.60,9190.732,4.09,8177.069,3.50,6996.317,2.86,5717.591
