boundaryName,schemaName,rowType,calculationMode,sameEloFirstPlayerWinRatePercent,playerName,originalElo,effectiveElo,eloDelta,firstPlayerCount,secondPlayerCount,firstPlayerWinRatePercent,secondPlayerWinRatePercent,championshipProbabilityPercent,averagePlace,place1Percent,place1Count,place2Percent,place2Count,place3Percent,place3Count,place4Percent,place4Count,place5Percent,place5Count,place6Percent,place6Count,place7Percent,place7Count,place8Percent,place8Count,place9Percent,place9Count,place10Percent,place10Count,place11Percent,place11Count,place12Percent,place12Count,place13Percent,place13Count,place14Percent,place14Count,place15Percent,place15Count,place16Percent,place16Count
FinalRanking,standardFinalRanking,data,シミュレーション (10回),51.00,飛,5050,5043,-7,0,8,,77.98,30.00,3.500,30.00,3.000,16.67,1.667,8.67,0.867,8.67,0.867,10.33,1.033,10.33,1.033,10.33,1.033,5.00,0.500,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,standardFinalRanking,data,シミュレーション (10回),51.00,角,5030,5023,-7,0,8,,75.97,8.33,5.450,8.33,0.833,8.33,0.833,4.76,0.476,3.43,0.343,21.76,2.176,21.76,2.176,11.76,1.176,11.76,1.176,4.76,0.476,3.33,0.333,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,standardFinalRanking,data,シミュレーション (10回),51.00,玉,5010,5003,-7,0,8,,73.83,23.33,3.650,23.33,2.333,23.33,2.333,5.33,0.533,6.50,0.650,14.00,1.400,14.00,1.400,9.00,0.900,4.50,0.450,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,standardFinalRanking,data,シミュレーション (10回),51.00,金,4990,4983,-7,0,8,,71.58,3.33,5.500,3.33,0.333,10.00,1.000,17.00,1.700,18.17,1.817,9.83,0.983,9.83,0.983,14.83,1.483,7.00,0.700,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,5.00,0.500,5.00,0.500,0.00,0.000,0.00,0.000
FinalRanking,standardFinalRanking,data,シミュレーション (10回),51.00,銀,4970,4963,-7,0,8,,69.21,0.00,4.100,0.00,0.000,15.00,1.500,28.43,2.843,25.93,2.593,9.26,0.926,9.26,0.926,9.26,0.926,1.43,0.143,1.43,0.143,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,standardFinalRanking,data,シミュレーション (10回),51.00,桂,4950,4943,-7,0,8,,66.75,5.00,4.950,5.00,0.500,16.67,1.667,23.10,2.310,8.10,0.810,8.10,0.810,8.10,0.810,8.10,0.810,6.43,0.643,9.76,0.976,3.33,0.333,3.33,0.333,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,standardFinalRanking,data,シミュレーション (10回),51.00,香,4930,4923,-7,0,8,,64.18,15.00,6.350,15.00,1.500,5.00,0.500,0.00,0.000,12.00,1.200,9.50,0.950,9.50,0.950,9.50,0.950,14.50,1.450,5.00,0.500,3.33,0.333,3.33,0.333,13.33,1.333,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,standardFinalRanking,data,シミュレーション (10回),51.00,歩,4910,4903,-7,0,8,,61.54,15.00,5.850,15.00,1.500,5.00,0.500,8.43,0.843,10.43,1.043,7.93,0.793,7.93,0.793,17.93,1.793,10.93,1.093,6.43,0.643,0.00,0.000,0.00,0.000,2.50,0.250,2.50,0.250,2.50,0.250,2.50,0.250,0.00,0.000
FinalRanking,standardFinalRanking,data,シミュレーション (10回),51.00,きりん,4890,4897,+7,8,0,38.46,,0.00,12.050,0.00,0.000,0.00,0.000,1.43,0.143,1.43,0.143,1.43,0.143,1.43,0.143,1.43,0.143,6.43,0.643,6.43,0.643,5.00,0.500,15.00,1.500,15.00,1.500,5.00,0.500,10.00,1.000,20.00,2.000,10.00,1.000
FinalRanking,standardFinalRanking,data,シミュレーション (10回),51.00,ぞう,4870,4877,+7,8,0,35.82,,0.00,11.350,0.00,0.000,0.00,0.000,1.43,0.143,1.43,0.143,1.43,0.143,1.43,0.143,1.43,0.143,4.76,0.476,11.43,1.143,18.33,1.833,15.00,1.500,8.33,0.833,10.00,1.000,8.33,0.833,3.33,0.333,13.33,1.333
