calculationMode,blackAdvantagePercent,playerName,originalElo,effectiveElo,eloDelta,blackCount,whiteCount,blackWinRatePercent,whiteWinRatePercent,championshipProbabilityPercent,averagePlace,place1Percent,place1Count,place2Percent,place2Count,place3Percent,place3Count,place4Percent,place4Count,place5Percent,place5Count,place6Percent,place6Count,place7Percent,place7Count,place8Percent,place8Count,place9Percent,place9Count,place10Percent,place10Count,place11Percent,place11Count,place12Percent,place12Count,place13Percent,place13Count,place14Percent,place14Count,place15Percent,place15Count,place16Percent,place16Count
"シミュレーション (200,000回)",70.00,圭,5110,4963,-147,0,8,,63.09,16.31,5.501,16.31,32613.110,13.10,26198.142,10.98,21961.382,9.35,18707.490,8.30,16602.345,7.35,14694.062,6.15,12303.551,5.35,10698.802,4.94,9870.879,4.37,8743.275,3.58,7165.696,2.97,5949.030,2.55,5094.630,2.07,4141.500,1.57,3149.420,1.05,2106.684
"シミュレーション (200,000回)",70.00,杏,5090,4943,-147,0,8,,60.44,12.97,6.097,12.97,25941.890,11.40,22801.243,10.11,20219.409,9.04,18087.896,8.31,16616.480,7.56,15114.859,6.59,13182.169,5.92,11840.998,5.56,11120.336,5.04,10074.866,4.28,8556.804,3.66,7316.281,3.28,6552.285,2.72,5433.690,2.10,4193.879,1.47,2946.915
"シミュレーション (200,000回)",70.00,と,5070,4923,-147,0,8,,57.72,10.07,6.724,10.07,20133.940,9.73,19467.427,9.15,18297.840,8.54,17076.808,8.12,16236.252,7.59,15175.224,6.88,13753.482,6.40,12800.197,6.11,12214.261,5.64,11280.230,4.94,9870.680,4.42,8831.221,4.01,8020.105,3.45,6892.911,2.83,5666.254,2.14,4283.168
"シミュレーション (200,000回)",70.00,飛,5050,4903,-147,0,8,,54.95,7.88,7.341,7.88,15757.995,8.12,16238.345,8.03,16060.810,7.91,15818.953,7.78,15556.887,7.44,14887.940,7.04,14081.278,6.74,13478.405,6.52,13041.822,6.11,12226.865,5.59,11175.629,5.16,10323.761,4.82,9645.936,4.25,8504.638,3.62,7232.648,2.98,5968.087
"シミュレーション (200,000回)",70.00,角,5030,4883,-147,0,8,,52.16,5.82,8.031,5.82,11647.648,6.60,13193.512,6.91,13814.206,7.11,14224.717,7.13,14251.090,7.06,14123.343,7.03,14050.314,6.91,13828.691,6.78,13565.731,6.56,13118.261,6.25,12490.027,5.98,11967.193,5.72,11446.576,5.28,10567.470,4.73,9463.287,4.12,8247.933
"シミュレーション (200,000回)",70.00,玉,5010,4863,-147,0,8,,49.35,4.37,8.698,4.37,8732.410,5.14,10285.436,5.77,11539.676,6.21,12414.494,6.45,12903.260,6.63,13266.569,6.82,13644.589,6.92,13843.726,6.93,13854.588,6.87,13749.917,6.82,13631.395,6.74,13483.954,6.59,13176.734,6.31,12626.030,5.95,11907.200,5.47,10940.022
"シミュレーション (200,000回)",70.00,金,4990,4843,-147,0,8,,46.54,3.12,9.349,3.12,6239.109,4.07,8145.802,4.80,9607.783,5.36,10711.481,5.71,11416.671,6.06,12122.277,6.44,12883.594,6.75,13496.494,6.86,13722.401,6.98,13960.114,7.20,14399.460,7.32,14636.361,7.31,14624.077,7.35,14705.961,7.38,14759.865,7.28,14568.551
"シミュレーション (200,000回)",70.00,銀,4970,4823,-147,0,8,,43.76,2.33,9.992,2.33,4664.027,3.13,6250.602,3.84,7670.015,4.47,8936.072,4.85,9693.339,5.37,10740.895,6.00,11993.381,6.37,12743.579,6.62,13233.103,6.98,13967.724,7.45,14895.787,7.86,15713.686,8.08,16161.430,8.37,16744.555,8.78,17559.736,9.52,19032.070
"シミュレーション (200,000回)",70.00,桂,4950,5097,+147,8,0,58.02,,11.29,6.592,11.29,22571.906,9.92,19833.942,9.04,18073.149,8.41,16815.426,8.02,16033.216,7.52,15031.116,6.77,13535.185,6.32,12646.668,6.06,12118.231,5.61,11211.677,4.95,9894.464,4.42,8835.152,3.96,7911.108,3.30,6595.519,2.60,5195.183,1.85,3698.061
"シミュレーション (200,000回)",70.00,香,4930,5077,+147,8,0,55.24,,8.80,7.228,8.80,17609.748,8.37,16739.598,8.02,16045.951,7.79,15572.517,7.60,15192.403,7.31,14629.839,6.93,13863.081,6.68,13356.731,6.51,13027.111,6.15,12308.806,5.64,11278.516,5.19,10381.096,4.81,9613.157,4.19,8387.971,3.46,6913.446,2.54,5080.028
"シミュレーション (200,000回)",70.00,歩,4910,5057,+147,8,0,52.43,,6.65,7.910,6.65,13298.298,6.84,13687.392,6.95,13904.940,6.96,13921.304,7.00,14005.385,6.97,13946.466,6.95,13896.193,6.87,13742.222,6.81,13613.084,6.62,13238.587,6.31,12620.265,6.03,12067.182,5.73,11468.603,5.25,10497.331,4.52,9031.123,3.53,7061.625
"シミュレーション (200,000回)",70.00,きりん,4870,5017,+147,8,0,46.78,,3.66,9.230,3.66,7325.925,4.35,8701.371,4.89,9781.387,5.36,10718.135,5.70,11394.706,5.95,11899.761,6.34,12681.419,6.70,13392.694,6.85,13699.568,7.03,14059.705,7.26,14512.771,7.43,14853.469,7.45,14896.757,7.40,14794.618,7.22,14444.632,6.42,12843.081
"シミュレーション (200,000回)",70.00,ぞう,4850,4997,+147,8,0,43.97,,2.64,9.893,2.64,5270.453,3.41,6828.457,3.98,7951.926,4.50,8993.108,4.86,9725.045,5.29,10577.192,5.89,11771.956,6.32,12633.385,6.58,13166.910,7.01,14026.843,7.50,14991.270,7.91,15818.810,8.22,16447.994,8.54,17077.386,8.77,17537.600,8.59,17181.664
"シミュレーション (200,000回)",70.00,らいおん,4830,4977,+147,8,0,41.21,,1.90,10.538,1.90,3799.465,2.55,5104.741,3.17,6345.671,3.66,7313.258,4.09,8178.499,4.62,9237.095,5.33,10665.753,5.82,11643.798,6.17,12342.754,6.74,13471.413,7.59,15186.063,8.27,16537.543,8.88,17754.192,9.66,19311.506,10.49,20974.892,11.07,22133.356
"シミュレーション (200,000回)",70.00,いぬ,4810,4957,+147,8,0,38.49,,1.29,11.157,1.29,2583.023,1.86,3721.456,2.46,4915.550,2.97,5945.375,3.37,6734.715,3.95,7896.788,4.72,9442.090,5.28,10562.649,5.67,11337.014,6.39,12779.184,7.47,14949.475,8.38,16769.619,9.21,18424.794,10.59,21185.950,12.26,24513.528,14.12,28238.789
"シミュレーション (200,000回)",70.00,ねこ,4790,4937,+147,8,0,35.85,,0.91,11.720,0.91,1811.054,1.40,2802.533,1.91,3810.303,2.37,4742.967,2.73,5459.707,3.33,6656.574,4.13,8251.965,4.65,9290.961,5.04,10072.206,5.89,11782.534,7.19,14381.698,8.26,16515.639,9.38,18761.622,11.27,22532.963,13.73,27457.308,17.83,35669.966
