calculationMode,blackAdvantagePercent,playerName,originalElo,effectiveElo,eloDelta,blackCount,whiteCount,blackWinRatePercent,whiteWinRatePercent,championshipProbabilityPercent,averagePlace,place1Percent,place1Count,place2Percent,place2Count,place3Percent,place3Count,place4Percent,place4Count,place5Percent,place5Count,place6Percent,place6Count,place7Percent,place7Count,place8Percent,place8Count,place9Percent,place9Count,place10Percent,place10Count,place11Percent,place11Count,place12Percent,place12Count,place13Percent,place13Count,place14Percent,place14Count,place15Percent,place15Count,place16Percent,place16Count
"シミュレーション (200,000回)",70.00,金,4990,4843,-147,0,8,,62.22,16.09,5.661,16.09,32175.080,12.64,25289.833,10.56,21124.581,9.08,18156.803,8.14,16286.856,7.22,14430.445,6.10,12194.188,5.40,10805.053,5.05,10103.437,4.53,9055.287,3.79,7576.330,3.24,6480.683,2.85,5705.151,2.34,4670.171,1.78,3551.520,1.20,2394.583
"シミュレーション (200,000回)",70.00,銀,4970,4823,-147,0,8,,59.51,12.69,6.279,12.69,25386.662,11.00,21996.420,9.74,19478.198,8.72,17441.137,8.11,16211.570,7.36,14722.980,6.52,13041.206,5.94,11880.198,5.65,11302.731,5.19,10371.188,4.46,8921.684,3.88,7766.045,3.50,7006.432,3.03,6053.374,2.46,4920.588,1.75,3499.588
"シミュレーション (200,000回)",70.00,桂,4950,4803,-147,0,8,,56.75,9.85,6.914,9.85,19696.108,9.35,18691.043,8.81,17614.920,8.26,16517.822,7.84,15686.735,7.37,14734.793,6.73,13462.152,6.33,12667.254,6.12,12248.548,5.71,11425.707,5.11,10212.482,4.64,9289.141,4.33,8668.242,3.86,7712.644,3.23,6454.992,2.46,4917.418
"シミュレーション (200,000回)",70.00,香,4930,4783,-147,0,8,,53.94,7.54,7.568,7.54,15085.322,7.89,15775.618,7.71,15424.110,7.54,15080.623,7.38,14756.892,7.16,14313.565,6.81,13626.916,6.60,13191.856,6.46,12925.574,6.16,12326.324,5.77,11547.063,5.45,10893.785,5.18,10350.512,4.72,9446.742,4.18,8352.132,3.45,6902.968
"シミュレーション (200,000回)",70.00,歩,4910,4763,-147,0,8,,51.10,5.66,8.259,5.66,11318.394,6.23,12467.369,6.64,13289.121,6.79,13581.324,6.82,13640.963,6.78,13563.628,6.73,13465.691,6.70,13400.659,6.61,13224.895,6.51,13021.540,6.33,12665.151,6.21,12422.493,6.05,12106.298,5.79,11576.913,5.39,10781.145,4.74,9474.415
"シミュレーション (200,000回)",70.00,きりん,4870,4723,-147,0,8,,45.43,3.04,9.596,3.04,6089.681,3.89,7789.281,4.54,9075.867,5.04,10074.653,5.32,10649.485,5.68,11357.866,6.14,12283.198,6.40,12798.660,6.54,13078.835,6.78,13558.071,7.17,14337.267,7.44,14886.533,7.62,15235.901,7.90,15803.659,8.16,16317.937,8.33,16663.107
"シミュレーション (200,000回)",70.00,ぞう,4850,4703,-147,0,8,,42.63,2.19,10.258,2.19,4379.791,3.01,6014.035,3.61,7219.867,4.15,8299.397,4.53,9057.728,4.99,9989.370,5.65,11307.895,6.01,12021.581,6.23,12468.270,6.65,13295.543,7.33,14653.203,7.81,15619.292,8.23,16461.405,8.93,17860.127,9.84,19675.405,10.84,21677.092
"シミュレーション (200,000回)",70.00,らいおん,4830,4683,-147,0,8,,39.88,1.49,10.898,1.49,2975.726,2.19,4381.760,2.85,5693.053,3.41,6811.204,3.78,7552.280,4.32,8638.802,5.04,10070.331,5.49,10989.973,5.80,11604.800,6.42,12831.014,7.32,14648.430,8.10,16194.995,8.75,17501.562,9.80,19592.528,11.36,22715.410,13.90,27798.133
"シミュレーション (200,000回)",70.00,いぬ,4810,4957,+147,8,0,56.24,,9.75,6.996,9.75,19508.830,9.02,18042.250,8.47,16931.974,8.04,16076.782,7.80,15605.947,7.36,14714.161,6.82,13637.818,6.44,12889.515,6.25,12498.201,5.85,11709.390,5.28,10556.397,4.82,9641.143,4.43,8858.293,3.92,7845.216,3.26,6517.379,2.48,4966.704
"シミュレーション (200,000回)",70.00,ねこ,4790,4937,+147,8,0,53.46,,7.50,7.659,7.50,15000.449,7.50,14995.499,7.44,14887.800,7.32,14647.920,7.28,14553.611,7.07,14147.236,6.83,13668.766,6.69,13388.649,6.58,13162.528,6.33,12660.488,5.92,11841.955,5.63,11253.311,5.33,10661.438,4.87,9747.584,4.26,8520.049,3.43,6862.716
"シミュレーション (200,000回)",70.00,うさぎ,4790,4937,+147,8,0,53.46,,7.53,7.647,7.53,15057.767,7.55,15108.396,7.44,14880.097,7.37,14735.101,7.27,14538.534,7.14,14271.723,6.82,13637.222,6.67,13349.358,6.55,13103.431,6.28,12560.687,5.92,11831.035,5.58,11157.358,5.31,10620.935,4.86,9719.908,4.29,8578.636,3.42,6849.811
"シミュレーション (200,000回)",70.00,いのしし,4770,4917,+147,8,0,50.65,,5.63,8.321,5.63,11269.834,6.14,12277.653,6.38,12757.725,6.53,13066.686,6.62,13237.617,6.71,13426.414,6.76,13524.405,6.79,13571.352,6.76,13515.549,6.66,13328.632,6.50,13000.426,6.37,12743.759,6.19,12376.147,5.87,11731.463,5.42,10841.142,4.67,9331.197
"シミュレーション (200,000回)",70.00,ひよこ,4750,4897,+147,8,0,47.84,,4.23,9.012,4.23,8451.561,4.78,9556.876,5.27,10530.364,5.68,11361.576,5.93,11868.172,6.18,12353.307,6.49,12971.786,6.66,13322.266,6.74,13483.643,6.85,13694.850,6.98,13965.730,7.03,14056.334,7.05,14102.018,6.98,13951.724,6.80,13603.935,6.36,12725.860
"シミュレーション (200,000回)",70.00,大ハム,4730,4877,+147,8,0,45.05,,3.06,9.669,3.06,6123.133,3.76,7521.742,4.32,8634.131,4.83,9653.334,5.15,10308.332,5.54,11078.527,6.05,12109.143,6.42,12842.086,6.62,13248.067,6.92,13839.573,7.30,14597.327,7.59,15187.010,7.80,15591.747,8.07,16141.941,8.24,16488.300,8.32,16635.608
"シミュレーション (200,000回)",70.00,中ハム,4710,4857,+147,8,0,42.28,,2.19,10.323,2.19,4384.976,2.88,5758.071,3.50,6999.894,4.01,8028.109,4.39,8780.278,4.89,9781.061,5.52,11043.459,5.94,11889.384,6.20,12407.235,6.72,13443.397,7.43,14850.526,8.00,16009.543,8.47,16949.962,9.10,18192.417,9.86,19722.030,10.88,21759.660
"シミュレーション (200,000回)",70.00,小ハム,4690,4837,+147,8,0,39.56,,1.55,10.938,1.55,3096.687,2.17,4334.155,2.73,5458.298,3.23,6467.530,3.63,7265.002,4.24,8476.123,4.98,9955.823,5.50,10992.157,5.81,11624.257,6.44,12878.310,7.40,14794.994,8.20,16398.575,8.90,17803.958,9.98,19953.588,11.48,22959.402,13.77,27541.142
