participantName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
飛,Apex,5050,1,3.447,2.447,22.70,100.00
角,Apex,5030,2,3.760,1.760,18.55,100.00
玉,Apex,5010,3,4.017,1.017,15.79,100.00
金,Apex,4990,4,4.314,0.314,13.00,100.00
銀,Apex,4970,5,4.640,-0.360,10.50,100.00
桂,Apex,4950,6,4.952,-1.048,8.16,100.00
香,Apex,4930,7,5.260,-1.740,6.54,100.00
歩,Apex,4910,8,5.610,-2.390,4.76,100.00
きりん,Innov,4890,9,11.400,2.400,0.00,0.00
ぞう,Innov,4870,10,11.700,1.700,0.00,0.00
らいおん,Innov,4850,11,12.050,1.050,0.00,0.00
いぬ,Innov,4830,12,12.349,0.349,0.00,0.00
ねこ,Innov,4810,13,12.678,-0.322,0.00,0.00
うさぎ,Innov,4790,14,12.981,-1.019,0.00,0.00
いのしし,Innov,4770,15,13.279,-1.721,0.00,0.00
ひよこ,Innov,4750,16,13.563,-2.437,0.00,0.00
