boundaryName,schemaName,rowType,playerName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
TournamentQualityReport,playerReport,data,飛,Neutral,5050,1,3.450,2.450,23.33,100.00
TournamentQualityReport,playerReport,data,角,Neutral,5030,2,4.350,2.350,10.00,100.00
TournamentQualityReport,playerReport,data,玉,Neutral,5010,3,3.600,0.600,20.00,90.00
TournamentQualityReport,playerReport,data,金,Neutral,4990,4,4.800,0.800,10.00,91.67
TournamentQualityReport,playerReport,data,銀,Neutral,4970,5,4.600,-0.400,5.00,96.67
TournamentQualityReport,playerReport,data,桂,Neutral,4950,6,5.300,-0.700,13.33,80.00
TournamentQualityReport,playerReport,data,香,Neutral,4930,7,5.100,-1.900,18.33,86.67
TournamentQualityReport,playerReport,data,歩,Neutral,4910,8,8.050,0.050,0.00,61.67
TournamentQualityReport,playerReport,data,きりん,Neutral,4890,9,10.950,1.950,0.00,40.00
TournamentQualityReport,playerReport,data,ぞう,Neutral,4870,10,12.350,2.350,0.00,6.67
TournamentQualityReport,playerReport,data,らいおん,Neutral,4850,11,10.850,-0.150,0.00,5.00
TournamentQualityReport,playerReport,data,いぬ,Neutral,4830,12,12.200,0.200,0.00,6.67
TournamentQualityReport,playerReport,data,ねこ,Neutral,4810,13,12.400,-0.600,0.00,0.00
TournamentQualityReport,playerReport,data,うさぎ,Neutral,4790,14,12.150,-1.850,0.00,10.00
TournamentQualityReport,playerReport,data,いのしし,Neutral,4770,15,11.250,-3.750,0.00,25.00
TournamentQualityReport,playerReport,data,ひよこ,Neutral,4750,16,14.600,-1.400,0.00,0.00
