boundaryName,schemaName,rowType,metricName,metricValue,note
TournamentQualityReport,summaryMetrics,metric,totalScore,58044,品質評価総合点 / 100000
TournamentQualityReport,summaryMetrics,metric,scoreMax,100000,品質評価総合点の満点
TournamentQualityReport,summaryMetrics,meta,scorePreset,ChampionFocused,品質評価総合点プリセット
TournamentQualityReport,summaryMetrics,metric,scoreSpearmanNormalized,0.957353,28721 / 30000
TournamentQualityReport,summaryMetrics,metric,scoreMeanRankErrorNormalized,0.581250,11625 / 20000
TournamentQualityReport,summaryMetrics,metric,scoreTop8RetentionNormalized,0.868750,13031 / 15000
TournamentQualityReport,summaryMetrics,metric,scoreEloTop1WinNormalized,0.133333,4667 / 35000
TournamentQualityReport,summaryMetrics,metric,spearmanCorrelation,0.914706,Elo順位と期待総合順位の相関
TournamentQualityReport,summaryMetrics,metric,meanAbsoluteRankError,1.675000,期待総合順位とElo順位のずれの絶対値平均
TournamentQualityReport,summaryMetrics,metric,averageTop8Retention,6.950000,Elo上位8名が総合上位8位に残る人数の期待値
TournamentQualityReport,summaryMetrics,metric,eloTop1OverallTop1Probability,13.333333,Elo1位が総合1位になる確率(%)
TournamentQualityReport,summaryMetrics,metric,mostPenalizedPlayerDelta,3.700000,角
TournamentQualityReport,summaryMetrics,metric,mostAdvantagedPlayerDelta,-3.400000,ひよこ
nextCycleSuggestionTitle,,次回の品質評価提案
nextCycleSuggestedSetting,,同Elo対局時の先手勝率(%) = 51.00
nextCycleSuggestedSetting,,ピンポイント比較候補(%) = 52.00
nextCycleSuggestedSetting,,"シミュレーション試行回数 = 1,000"
nextCycleSuggestedSetting,,軽量確認の見方 = 選手 16 人 / 対局 64 件では、先に 1 条件だけ再確認してから横比較
nextCycleSuggestionReason,,今回の条件で回せました。選手数 16 人・対局数 64 件なので、現条件とピンポイント候補を並べて比較できます。
