boundaryName,schemaName,rowType,calculationMode,firstPlayerWinRatePercent,playerName,group,originalElo,effectiveElo,eloDelta,firstPlayerCount,secondPlayerCount,firstPlayerWinRatePercent,secondPlayerWinRatePercent,groupPlace1ProbabilityPercent,groupPlaceAverage,overallPlace1ProbabilityPercent,overallPlaceAverage,place1Percent,place1Count,place2Percent,place2Count,place3Percent,place3Count,place4Percent,place4Count,place5Percent,place5Count,place6Percent,place6Count,place7Percent,place7Count,place8Percent,place8Count,place9Percent,place9Count,place10Percent,place10Count,place11Percent,place11Count,place12Percent,place12Count,place13Percent,place13Count,place14Percent,place14Count,place15Percent,place15Count,place16Percent,place16Count
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,圭,Apex,5110,5103,-7,0,8,,79.05,52.50,2.050,52.50,2.050,52.50,5.250,22.50,2.250,12.50,1.250,2.50,0.250,3.33,0.333,3.33,0.333,3.33,0.333,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,杏,Apex,5090,5083,-7,0,8,,77.11,5.83,3.558,5.83,3.605,5.83,0.583,27.50,2.750,17.50,1.750,25.83,2.583,6.67,0.667,10.00,1.000,3.33,0.333,2.81,0.281,0.52,0.052,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,と,Apex,5070,5063,-7,0,8,,75.05,13.33,4.530,13.33,4.890,13.33,1.333,6.67,0.667,9.17,0.917,12.50,1.250,9.17,0.917,22.50,2.250,13.33,1.333,9.33,0.933,4.00,0.400,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,飛,Apex,5050,5043,-7,0,8,,72.88,8.33,4.884,8.33,5.239,8.33,0.833,11.67,1.167,6.67,0.667,6.67,0.667,13.33,1.333,13.33,1.333,25.00,2.500,11.05,1.105,3.95,0.395,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,角,Apex,5030,5023,-7,0,8,,70.59,11.67,4.245,11.67,4.307,11.67,1.167,16.67,1.667,14.17,1.417,2.50,0.250,17.50,1.750,20.83,2.083,13.33,1.333,2.64,0.264,0.69,0.069,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,玉,Apex,5010,5003,-7,0,8,,68.20,5.83,4.582,5.83,4.715,5.83,0.583,9.17,0.917,15.00,1.500,20.00,2.000,14.17,1.417,5.83,0.583,25.00,2.500,3.52,0.352,1.48,0.148,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,金,Apex,4990,4983,-7,0,8,,65.70,2.50,4.482,2.50,5.852,2.50,0.250,2.50,0.250,18.33,1.833,11.67,1.167,12.50,1.250,9.17,0.917,3.33,0.333,24.78,2.478,15.22,1.522,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,銀,Apex,4970,4963,-7,0,8,,63.12,0.00,4.864,0.00,5.692,0.00,0.000,3.33,0.333,6.67,0.667,18.33,1.833,23.33,2.333,15.00,1.500,13.33,1.333,10.80,1.080,9.20,0.920,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,桂,Innov,4950,4957,+7,8,0,38.46,,19.97,3.400,0.00,11.400,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,15.03,1.503,19.97,1.997,5.00,0.500,10.00,1.000,13.33,1.333,10.83,1.083,14.17,1.417,5.83,0.583,5.83,0.583
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,香,Innov,4930,4937,+7,8,0,35.82,,8.49,3.035,0.00,11.035,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,6.51,0.651,8.49,0.849,25.83,2.583,20.83,2.083,20.83,2.083,10.83,1.083,3.33,0.333,3.33,0.333,0.00,0.000
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,歩,Innov,4910,4917,+7,8,0,33.25,,5.07,4.267,0.00,12.267,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,3.27,0.327,5.07,0.507,25.83,2.583,15.83,1.583,7.50,0.750,7.50,0.750,5.00,0.500,15.00,1.500,15.00,1.500
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,きりん,Innov,4870,4877,+7,8,0,28.42,,10.59,4.656,0.00,12.656,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,4.41,0.441,10.59,1.059,8.33,0.833,8.33,0.833,8.33,0.833,16.67,1.667,20.00,2.000,10.00,1.000,13.33,1.333
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,ぞう,Innov,4850,4857,+7,8,0,26.17,,0.00,5.050,0.00,13.050,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,5.83,0.583,13.33,1.333,21.67,2.167,21.67,2.167,14.17,1.417,13.33,1.333,10.00,1.000
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,らいおん,Innov,4830,4837,+7,8,0,24.03,,2.51,4.592,0.00,12.592,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.83,0.083,2.51,0.251,20.00,2.000,17.50,1.750,14.17,1.417,2.50,0.250,7.50,0.750,30.00,3.000,5.00,0.500
FinalRanking,finalStageFinalRanking,data,本戦専用 シミュレーション (10回),51.00,いぬ,Innov,4810,4817,+7,8,0,22.02,,2.58,5.042,0.00,13.042,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.76,0.076,2.58,0.258,9.17,0.917,11.67,1.167,11.67,1.167,21.67,2.167,19.17,1.917,8.33,0.833,15.00,1.500
