calculationMode,blackAdvantagePercent,playerName,originalElo,effectiveElo,eloDelta,blackCount,whiteCount,blackWinRatePercent,whiteWinRatePercent,championshipProbabilityPercent,averagePlace,place1Percent,place1Count,place2Percent,place2Count,place3Percent,place3Count,place4Percent,place4Count,place5Percent,place5Count,place6Percent,place6Count,place7Percent,place7Count,place8Percent,place8Count,place9Percent,place9Count,place10Percent,place10Count,place11Percent,place11Count,place12Percent,place12Count,place13Percent,place13Count,place14Percent,place14Count,place15Percent,place15Count,place16Percent,place16Count
"シミュレーション (200,000回)",70.00,黒どんぐり,4300,4153,-147,0,8,,30.00,0.16,12.011,0.16,317.131,0.30,592.004,0.49,978.528,0.77,1535.957,1.18,2367.326,1.75,3500.982,2.88,5768.751,4.71,9423.698,7.86,15728.366,9.64,19279.560,10.67,21348.583,11.28,22551.053,11.66,23324.858,12.03,24062.195,12.24,24476.371,12.37,24744.638
"シミュレーション (200,000回)",70.00,灰どんぐり,4300,4153,-147,0,8,,30.00,0.16,12.011,0.16,321.373,0.30,609.140,0.49,980.102,0.77,1538.264,1.16,2325.068,1.74,3471.794,2.82,5642.775,4.68,9353.693,7.85,15703.125,9.71,19429.054,10.74,21473.011,11.37,22731.307,11.74,23473.109,11.96,23923.826,12.19,24379.772,12.32,24644.586
"シミュレーション (200,000回)",70.00,白どんぐり,4300,4153,-147,0,8,,30.00,0.17,12.020,0.17,333.460,0.29,587.808,0.47,946.247,0.75,1501.871,1.14,2273.725,1.74,3489.467,2.83,5650.151,4.71,9411.542,7.80,15603.449,9.64,19286.929,10.77,21536.188,11.35,22695.648,11.74,23473.242,12.03,24064.056,12.22,24440.197,12.35,24706.020
"シミュレーション (200,000回)",70.00,銀どんぐり,4300,4153,-147,0,8,,30.00,0.17,12.021,0.17,335.491,0.29,583.110,0.47,931.063,0.76,1514.829,1.16,2314.693,1.74,3475.624,2.82,5637.698,4.67,9332.046,7.82,15644.153,9.65,19309.695,10.74,21475.274,11.32,22646.762,11.75,23508.176,12.06,24111.035,12.27,24546.057,12.32,24634.294
"シミュレーション (200,000回)",70.00,紅どんぐり,4300,4153,-147,0,8,,30.00,0.18,12.014,0.18,352.251,0.30,594.727,0.47,943.815,0.76,1524.916,1.18,2361.234,1.75,3502.724,2.83,5656.755,4.70,9392.613,7.81,15613.020,9.62,19241.018,10.75,21492.104,11.32,22642.313,11.74,23484.798,12.09,24182.042,12.18,24354.964,12.33,24660.706
"シミュレーション (200,000回)",70.00,赤どんぐり,4300,4153,-147,0,8,,30.00,0.16,12.024,0.16,313.834,0.30,590.504,0.47,943.075,0.74,1477.639,1.15,2304.622,1.75,3503.100,2.80,5606.175,4.64,9279.616,7.84,15679.241,9.68,19355.422,10.75,21502.902,11.33,22651.694,11.78,23557.763,12.02,24040.886,12.19,24378.904,12.41,24814.625
"シミュレーション (200,000回)",70.00,桃どんぐり,4300,4153,-147,0,8,,30.00,0.17,12.014,0.17,335.842,0.30,602.615,0.47,930.135,0.75,1509.995,1.15,2301.748,1.74,3477.359,2.84,5685.637,4.74,9477.861,7.79,15575.773,9.68,19359.247,10.81,21611.600,11.29,22583.342,11.76,23512.300,11.98,23957.879,12.20,24402.708,12.34,24675.959
"シミュレーション (200,000回)",70.00,茶どんぐり,4300,4153,-147,0,8,,30.00,0.16,12.001,0.16,327.812,0.31,613.215,0.49,980.161,0.78,1563.933,1.19,2389.846,1.76,3528.950,2.86,5723.182,4.69,9379.966,7.84,15674.271,9.68,19351.120,10.74,21485.466,11.34,22673.658,11.73,23458.944,11.99,23976.740,12.15,24302.461,12.29,24570.276
"シミュレーション (200,000回)",70.00,金どんぐり,4300,4447,+147,8,0,70.00,,12.37,4.981,12.37,24730.115,12.22,24437.455,11.98,23968.755,11.72,23445.592,11.33,22669.442,10.77,21545.427,9.71,19410.612,7.81,15623.771,4.70,9400.078,2.83,5654.889,1.73,3454.987,1.15,2304.170,0.76,1514.346,0.47,949.317,0.29,574.008,0.16,317.036
"シミュレーション (200,000回)",70.00,橙どんぐり,4300,4447,+147,8,0,70.00,,12.33,4.985,12.33,24665.858,12.14,24288.264,12.06,24121.828,11.81,23629.822,11.38,22761.212,10.71,21425.111,9.62,19246.856,7.78,15551.837,4.68,9352.657,2.83,5669.420,1.76,3515.411,1.19,2383.909,0.76,1528.980,0.47,943.269,0.29,579.187,0.17,336.380
