matchId,stageId,firstPlayerId,secondPlayerId,startTime,endTime,status,resultType,roundNo
8,1,16,1,0,1,Scheduled,None,1
15,1,15,2,0,1,Scheduled,None,1
22,1,14,3,0,1,Scheduled,None,1
29,1,13,4,0,1,Scheduled,None,1
36,1,12,5,0,1,Scheduled,None,1
43,1,11,6,0,1,Scheduled,None,1
50,1,10,7,0,1,Scheduled,None,1
57,1,9,8,0,1,Scheduled,None,1
7,1,15,1,2,3,Scheduled,None,2
16,1,16,2,2,3,Scheduled,None,2
21,1,13,3,2,3,Scheduled,None,2
30,1,14,4,2,3,Scheduled,None,2
35,1,11,5,2,3,Scheduled,None,2
44,1,12,6,2,3,Scheduled,None,2
49,1,9,7,2,3,Scheduled,None,2
58,1,10,8,2,3,Scheduled,None,2
6,1,14,1,4,5,Scheduled,None,3
13,1,13,2,4,5,Scheduled,None,3
24,1,16,3,4,5,Scheduled,None,3
31,1,15,4,4,5,Scheduled,None,3
34,1,10,5,4,5,Scheduled,None,3
41,1,9,6,4,5,Scheduled,None,3
52,1,12,7,4,5,Scheduled,None,3
59,1,11,8,4,5,Scheduled,None,3
5,1,13,1,6,7,Scheduled,None,4
14,1,14,2,6,7,Scheduled,None,4
23,1,15,3,6,7,Scheduled,None,4
32,1,16,4,6,7,Scheduled,None,4
33,1,9,5,6,7,Scheduled,None,4
42,1,10,6,6,7,Scheduled,None,4
51,1,11,7,6,7,Scheduled,None,4
60,1,12,8,6,7,Scheduled,None,4
4,1,12,1,8,9,Scheduled,None,5
11,1,11,2,8,9,Scheduled,None,5
18,1,10,3,8,9,Scheduled,None,5
25,1,9,4,8,9,Scheduled,None,5
40,1,16,5,8,9,Scheduled,None,5
47,1,15,6,8,9,Scheduled,None,5
54,1,14,7,8,9,Scheduled,None,5
61,1,13,8,8,9,Scheduled,None,5
3,1,11,1,10,11,Scheduled,None,6
12,1,12,2,10,11,Scheduled,None,6
17,1,9,3,10,11,Scheduled,None,6
26,1,10,4,10,11,Scheduled,None,6
39,1,15,5,10,11,Scheduled,None,6
48,1,16,6,10,11,Scheduled,None,6
53,1,13,7,10,11,Scheduled,None,6
62,1,14,8,10,11,Scheduled,None,6
2,1,10,1,12,13,Scheduled,None,7
9,1,9,2,12,13,Scheduled,None,7
20,1,12,3,12,13,Scheduled,None,7
27,1,11,4,12,13,Scheduled,None,7
38,1,14,5,12,13,Scheduled,None,7
45,1,13,6,12,13,Scheduled,None,7
56,1,16,7,12,13,Scheduled,None,7
63,1,15,8,12,13,Scheduled,None,7
1,1,9,1,14,15,Scheduled,None,8
10,1,10,2,14,15,Scheduled,None,8
19,1,11,3,14,15,Scheduled,None,8
28,1,12,4,14,15,Scheduled,None,8
37,1,13,5,14,15,Scheduled,None,8
46,1,14,6,14,15,Scheduled,None,8
55,1,15,7,14,15,Scheduled,None,8
64,1,16,8,14,15,Scheduled,None,8
