calculationMode,blackAdvantagePercent,playerName,originalElo,effectiveElo,eloDelta,blackCount,whiteCount,blackWinRatePercent,whiteWinRatePercent,championshipProbabilityPercent,averagePlace,place1Percent,place1Count,place2Percent,place2Count,place3Percent,place3Count,place4Percent,place4Count,place5Percent,place5Count,place6Percent,place6Count,place7Percent,place7Count,place8Percent,place8Count,place9Percent,place9Count,place10Percent,place10Count,place11Percent,place11Count,place12Percent,place12Count,place13Percent,place13Count,place14Percent,place14Count,place15Percent,place15Count,place16Percent,place16Count
シミュレーション (1回),70.00,飛,5050,4903,-147,0,8,,61.51,100.00,1.000,100.00,1.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
シミュレーション (1回),70.00,角,5030,4883,-147,0,8,,58.79,0.00,2.000,0.00,0.000,100.00,1.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
シミュレーション (1回),70.00,玉,5010,4863,-147,0,8,,56.03,0.00,4.000,0.00,0.000,0.00,0.000,33.33,0.333,33.33,0.333,33.33,0.333,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
シミュレーション (1回),70.00,金,4990,4843,-147,0,8,,53.22,0.00,12.500,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,0.00,0.000
シミュレーション (1回),70.00,銀,4970,4823,-147,0,8,,50.40,0.00,7.500,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,25.00,0.250,25.00,0.250,25.00,0.250,25.00,0.250,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
シミュレーション (1回),70.00,桂,4950,4803,-147,0,8,,47.57,0.00,12.500,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,0.00,0.000
シミュレーション (1回),70.00,香,4930,4783,-147,0,8,,44.76,0.00,7.500,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,25.00,0.250,25.00,0.250,25.00,0.250,25.00,0.250,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
シミュレーション (1回),70.00,歩,4910,4763,-147,0,8,,41.98,0.00,12.500,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,0.00,0.000
シミュレーション (1回),70.00,きりん,4890,5037,+147,8,0,58.02,,0.00,12.500,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,0.00,0.000
シミュレーション (1回),70.00,ぞう,4870,5017,+147,8,0,55.24,,0.00,12.500,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,0.00,0.000
シミュレーション (1回),70.00,らいおん,4850,4997,+147,8,0,52.43,,0.00,7.500,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,25.00,0.250,25.00,0.250,25.00,0.250,25.00,0.250,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
シミュレーション (1回),70.00,いぬ,4830,4977,+147,8,0,49.60,,0.00,4.000,0.00,0.000,0.00,0.000,33.33,0.333,33.33,0.333,33.33,0.333,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
シミュレーション (1回),70.00,ねこ,4810,4957,+147,8,0,46.78,,0.00,4.000,0.00,0.000,0.00,0.000,33.33,0.333,33.33,0.333,33.33,0.333,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
シミュレーション (1回),70.00,うさぎ,4790,4937,+147,8,0,43.97,,0.00,16.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,100.00,1.000
シミュレーション (1回),70.00,いのしし,4770,4917,+147,8,0,41.21,,0.00,7.500,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,25.00,0.250,25.00,0.250,25.00,0.250,25.00,0.250,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
シミュレーション (1回),70.00,ひよこ,4750,4897,+147,8,0,38.49,,0.00,12.500,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,16.67,0.167,0.00,0.000
