matchId,stageId,stageName,firstPlayerId,firstPlayerName,secondPlayerId,secondPlayerName,startTime,endTime,status,resultType,roundNo
8,1,予選A組,16,ひよこ,1,飛,0,1,Finished,SecondPlayerWin,1
15,1,予選A組,15,いのしし,2,角,0,1,Finished,FirstPlayerWin,1
22,1,予選A組,14,うさぎ,3,玉,0,1,Finished,FirstPlayerWin,1
29,1,予選A組,13,ねこ,4,金,0,1,Finished,FirstPlayerWin,1
36,1,予選A組,12,いぬ,5,銀,0,1,Finished,SecondPlayerWin,1
43,1,予選A組,11,らいおん,6,桂,0,1,Finished,SecondPlayerWin,1
50,1,予選A組,10,ぞう,7,香,0,1,Finished,SecondPlayerWin,1
57,1,予選A組,9,きりん,8,歩,0,1,Finished,FirstPlayerWin,1
7,1,予選A組,15,いのしし,1,飛,2,3,Finished,FirstPlayerWin,2
16,1,予選A組,16,ひよこ,2,角,2,3,Finished,FirstPlayerWin,2
21,1,予選A組,13,ねこ,3,玉,2,3,Finished,SecondPlayerWin,2
30,1,予選A組,14,うさぎ,4,金,2,3,Finished,SecondPlayerWin,2
35,1,予選A組,11,らいおん,5,銀,2,3,Finished,SecondPlayerWin,2
44,1,予選A組,12,いぬ,6,桂,2,3,Finished,FirstPlayerWin,2
49,1,予選A組,9,きりん,7,香,2,3,Finished,FirstPlayerWin,2
58,1,予選A組,10,ぞう,8,歩,2,3,Finished,SecondPlayerWin,2
6,1,予選A組,14,うさぎ,1,飛,4,5,Finished,FirstPlayerWin,3
13,1,予選A組,13,ねこ,2,角,4,5,Finished,FirstPlayerWin,3
24,1,予選A組,16,ひよこ,3,玉,4,5,Finished,FirstPlayerWin,3
31,1,予選A組,15,いのしし,4,金,4,5,Finished,SecondPlayerWin,3
34,1,予選A組,10,ぞう,5,銀,4,5,Finished,FirstPlayerWin,3
41,1,予選A組,9,きりん,6,桂,4,5,Finished,FirstPlayerWin,3
52,1,予選A組,12,いぬ,7,香,4,5,Finished,FirstPlayerWin,3
59,1,予選A組,11,らいおん,8,歩,4,5,Finished,SecondPlayerWin,3
5,1,予選A組,13,ねこ,1,飛,6,7,Finished,FirstPlayerWin,4
14,1,予選A組,14,うさぎ,2,角,6,7,Finished,SecondPlayerWin,4
23,1,予選A組,15,いのしし,3,玉,6,7,Finished,SecondPlayerWin,4
32,1,予選A組,16,ひよこ,4,金,6,7,Finished,SecondPlayerWin,4
33,1,予選A組,9,きりん,5,銀,6,7,Finished,FirstPlayerWin,4
42,1,予選A組,10,ぞう,6,桂,6,7,Finished,SecondPlayerWin,4
51,1,予選A組,11,らいおん,7,香,6,7,Finished,SecondPlayerWin,4
60,1,予選A組,12,いぬ,8,歩,6,7,Finished,FirstPlayerWin,4
4,1,予選A組,12,いぬ,1,飛,8,9,Finished,SecondPlayerWin,5
11,1,予選A組,11,らいおん,2,角,8,9,Finished,FirstPlayerWin,5
18,1,予選A組,10,ぞう,3,玉,8,9,Finished,FirstPlayerWin,5
25,1,予選A組,9,きりん,4,金,8,9,Finished,FirstPlayerWin,5
40,1,予選A組,16,ひよこ,5,銀,8,9,Finished,SecondPlayerWin,5
47,1,予選A組,15,いのしし,6,桂,8,9,Finished,FirstPlayerWin,5
54,1,予選A組,14,うさぎ,7,香,8,9,Finished,FirstPlayerWin,5
61,1,予選A組,13,ねこ,8,歩,8,9,Finished,FirstPlayerWin,5
3,1,予選A組,11,らいおん,1,飛,10,11,Finished,FirstPlayerWin,6
12,1,予選A組,12,いぬ,2,角,10,11,Finished,FirstPlayerWin,6
17,1,予選A組,9,きりん,3,玉,10,11,Finished,FirstPlayerWin,6
26,1,予選A組,10,ぞう,4,金,10,11,Finished,FirstPlayerWin,6
39,1,予選A組,15,いのしし,5,銀,10,11,Finished,FirstPlayerWin,6
48,1,予選A組,16,ひよこ,6,桂,10,11,Finished,SecondPlayerWin,6
53,1,予選A組,13,ねこ,7,香,10,11,Finished,SecondPlayerWin,6
62,1,予選A組,14,うさぎ,8,歩,10,11,Finished,SecondPlayerWin,6
2,1,予選A組,10,ぞう,1,飛,12,13,Finished,FirstPlayerWin,7
9,1,予選A組,9,きりん,2,角,12,13,Finished,SecondPlayerWin,7
20,1,予選A組,12,いぬ,3,玉,12,13,Finished,SecondPlayerWin,7
27,1,予選A組,11,らいおん,4,金,12,13,Finished,FirstPlayerWin,7
38,1,予選A組,14,うさぎ,5,銀,12,13,Finished,FirstPlayerWin,7
45,1,予選A組,13,ねこ,6,桂,12,13,Finished,FirstPlayerWin,7
56,1,予選A組,16,ひよこ,7,香,12,13,Finished,SecondPlayerWin,7
63,1,予選A組,15,いのしし,8,歩,12,13,Finished,FirstPlayerWin,7
1,1,予選A組,9,きりん,1,飛,14,15,Finished,SecondPlayerWin,8
10,1,予選A組,10,ぞう,2,角,14,15,Finished,FirstPlayerWin,8
19,1,予選A組,11,らいおん,3,玉,14,15,Finished,FirstPlayerWin,8
28,1,予選A組,12,いぬ,4,金,14,15,Finished,SecondPlayerWin,8
37,1,予選A組,13,ねこ,5,銀,14,15,Finished,SecondPlayerWin,8
46,1,予選A組,14,うさぎ,6,桂,14,15,Finished,FirstPlayerWin,8
55,1,予選A組,15,いのしし,7,香,14,15,Finished,SecondPlayerWin,8
64,1,予選A組,16,ひよこ,8,歩,14,15,Finished,SecondPlayerWin,8
