participantName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
飛,Apex,5050,1,3.431,2.431,23.10,100.00
角,Apex,5030,2,3.693,1.693,19.42,100.00
玉,Apex,5010,3,4.026,1.026,15.50,100.00
金,Apex,4990,4,4.325,0.325,12.74,100.00
銀,Apex,4970,5,4.631,-0.369,10.32,100.00
桂,Apex,4950,6,4.964,-1.036,7.87,100.00
香,Apex,4930,7,5.305,-1.695,6.27,100.00
歩,Apex,4910,8,5.624,-2.376,4.79,100.00
きりん,Innov,4890,9,11.381,2.381,0.00,0.00
ぞう,Innov,4870,10,11.728,1.728,0.00,0.00
らいおん,Innov,4850,11,12.016,1.016,0.00,0.00
いぬ,Innov,4830,12,12.369,0.369,0.00,0.00
ねこ,Innov,4810,13,12.665,-0.335,0.00,0.00
うさぎ,Innov,4790,14,12.995,-1.005,0.00,0.00
いのしし,Innov,4770,15,13.276,-1.724,0.00,0.00
ひよこ,Innov,4750,16,13.570,-2.430,0.00,0.00
