participantName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
金,Apex,4990,1,3.363,2.363,23.12,100.00
銀,Apex,4970,2,3.632,1.632,19.51,100.00
桂,Apex,4950,3,3.879,0.879,16.77,100.00
香,Apex,4930,4,4.200,0.200,13.62,100.00
歩,Apex,4910,5,4.508,-0.492,11.17,100.00
きりん,Apex,4870,6,5.143,-0.857,6.95,100.00
ぞう,Apex,4850,7,5.471,-1.529,5.02,100.00
らいおん,Apex,4830,8,5.805,-2.195,3.83,100.00
いぬ,Innov,4810,9,11.642,2.642,0.00,0.00
うさぎ,Innov,4790,10,11.957,1.957,0.00,0.00
ねこ,Innov,4790,11,11.949,0.949,0.00,0.00
いのしし,Innov,4770,12,12.270,0.270,0.00,0.00
ひよこ,Innov,4750,13,12.586,-0.414,0.00,0.00
大ハム,Innov,4730,14,12.893,-1.107,0.00,0.00
中ハム,Innov,4710,15,13.218,-1.782,0.00,0.00
小ハム,Innov,4690,16,13.483,-2.517,0.00,0.00
