metricName,metricValue,note
spearmanCorrelation,0.926471,Elo順位と期待総合順位の相関
meanAbsoluteRankError,1.531250,期待総合順位とElo順位のずれの絶対値平均
averageTop8Retention,7.063333,Elo上位8名が総合上位8位に残る人数の期待値
eloTop1OverallTop1Probability,22.500000,Elo1位が総合1位になる確率(%)
mostPenalizedPlayerDelta,3.250000,飛
mostAdvantagedPlayerDelta,-2.800000,ひよこ
nextCycleSuggestionTitle,,次回の品質評価提案
nextCycleSuggestedSetting,,同Elo対局時の先手勝率(%) = 51.00
nextCycleSuggestedSetting,,ピンポイント比較候補(%) = 52.00
nextCycleSuggestedSetting,,"シミュレーション試行回数 = 1,000"
nextCycleSuggestedSetting,,軽量確認の見方 = 選手 16 人 / 対局 64 件では、先に 1 条件だけ再確認してから横比較
nextCycleSuggestionReason,,今回の条件で回せました。選手数 16 人・対局数 64 件なので、現条件とピンポイント候補を並べて比較できます。
