calculationMode,blackAdvantagePercent,playerName,originalElo,effectiveElo,eloDelta,blackCount,whiteCount,blackWinRatePercent,whiteWinRatePercent,championshipProbabilityPercent,averagePlace,place1Percent,place1Count,place2Percent,place2Count,place3Percent,place3Count,place4Percent,place4Count,place5Percent,place5Count,place6Percent,place6Count,place7Percent,place7Count,place8Percent,place8Count,place9Percent,place9Count,place10Percent,place10Count,place11Percent,place11Count,place12Percent,place12Count,place13Percent,place13Count,place14Percent,place14Count,place15Percent,place15Count,place16Percent,place16Count
"シミュレーション (2,000回)",70.00,圭,5110,4963,-147,0,8,,63.09,15.04,5.521,15.04,300.760,13.44,268.743,11.28,225.558,9.56,191.275,8.56,171.150,7.19,143.816,6.40,127.959,5.62,112.471,5.10,101.983,4.53,90.678,3.60,72.039,2.70,54.044,2.37,47.445,1.91,38.231,1.57,31.314,1.13,22.533
"シミュレーション (2,000回)",70.00,杏,5090,4943,-147,0,8,,60.44,13.32,6.086,13.32,266.356,11.04,220.767,9.64,192.703,8.96,179.248,8.48,169.526,8.06,161.225,6.68,133.542,6.00,119.960,5.69,113.813,5.08,101.547,4.17,83.465,3.58,71.523,3.38,67.505,2.44,48.802,1.91,38.210,1.59,31.808
"シミュレーション (2,000回)",70.00,と,5070,4923,-147,0,8,,57.72,9.96,6.674,9.96,199.247,9.52,190.468,10.46,209.249,8.43,168.692,8.03,160.578,7.58,151.622,6.58,131.565,6.17,123.471,5.99,119.735,5.57,111.308,5.10,102.043,4.46,89.124,3.87,77.439,3.30,66.063,3.08,61.630,1.89,37.767
"シミュレーション (2,000回)",70.00,飛,5050,4903,-147,0,8,,54.95,8.17,7.261,8.17,163.334,9.38,187.631,8.39,167.789,7.61,152.170,7.52,150.448,6.84,136.756,6.58,131.626,6.40,128.057,6.30,126.030,6.24,124.841,5.61,112.187,5.31,106.206,4.92,98.385,4.41,88.112,3.69,73.886,2.63,52.542
"シミュレーション (2,000回)",70.00,角,5030,4883,-147,0,8,,52.16,5.52,8.107,5.52,110.362,6.35,127.006,6.84,136.754,7.23,144.595,7.34,146.830,7.33,146.545,6.92,138.349,6.98,139.565,6.61,132.158,6.05,121.008,6.14,122.834,5.80,116.024,5.94,118.787,5.52,110.478,4.58,91.561,4.86,97.144
"シミュレーション (2,000回)",70.00,玉,5010,4863,-147,0,8,,49.35,4.30,8.726,4.30,86.098,5.07,101.381,5.38,107.692,6.03,120.655,6.23,124.663,6.74,134.851,6.81,136.224,7.15,143.093,7.12,142.399,7.24,144.888,7.01,140.123,7.07,141.479,6.78,135.663,6.19,123.712,5.64,112.729,5.22,104.351
"シミュレーション (2,000回)",70.00,金,4990,4843,-147,0,8,,46.54,3.47,9.239,3.47,69.395,3.96,79.261,4.36,87.300,5.83,116.566,6.09,121.797,6.41,128.159,6.74,134.771,6.64,132.715,6.75,134.904,7.03,140.545,7.24,144.854,7.03,140.667,7.29,145.708,7.10,142.094,7.29,145.861,6.77,135.402
"シミュレーション (2,000回)",70.00,銀,4970,4823,-147,0,8,,43.76,2.39,9.849,2.39,47.842,3.58,71.641,4.27,85.470,4.69,93.769,4.71,94.236,5.24,104.825,6.50,130.091,6.42,128.456,6.64,132.748,6.85,136.982,7.26,145.206,7.51,150.244,8.06,161.158,8.29,165.815,8.45,168.988,9.13,182.527
"シミュレーション (2,000回)",70.00,桂,4950,5097,+147,8,0,58.02,,11.46,6.544,11.46,229.128,10.09,201.839,8.91,178.118,8.62,172.430,8.13,162.596,7.53,150.599,7.10,141.902,6.20,124.077,5.91,118.168,5.27,105.394,4.73,94.660,4.47,89.303,3.97,79.499,3.10,62.064,2.36,47.181,2.15,43.042
"シミュレーション (2,000回)",70.00,香,4930,5077,+147,8,0,55.24,,8.77,7.227,8.77,175.402,7.56,151.188,7.73,154.609,8.40,167.924,7.76,155.244,7.86,157.257,6.89,137.783,6.90,138.029,6.76,135.195,6.08,121.544,5.42,108.351,5.23,104.618,4.71,94.133,4.13,82.537,3.32,66.477,2.49,49.710
"シミュレーション (2,000回)",70.00,歩,4910,5057,+147,8,0,52.43,,5.81,8.110,5.81,116.221,6.59,131.751,6.55,130.923,6.47,129.422,6.89,137.828,6.91,138.200,7.10,141.953,7.10,142.089,7.03,140.509,6.74,134.714,6.65,132.912,6.32,126.320,5.68,113.583,5.50,109.960,5.12,102.367,3.56,71.250
"シミュレーション (2,000回)",70.00,きりん,4870,5017,+147,8,0,46.78,,4.59,9.244,4.59,91.770,4.60,91.910,4.56,91.279,5.06,101.204,5.57,111.452,5.63,112.551,6.05,121.022,6.55,131.061,6.80,136.025,6.60,131.923,6.91,138.143,7.42,148.350,7.97,159.471,7.66,153.223,7.34,146.763,6.69,133.851
"シミュレーション (2,000回)",70.00,ぞう,4850,4997,+147,8,0,43.97,,2.80,10.073,2.80,55.956,3.23,64.687,3.96,79.114,4.27,85.467,4.58,91.594,4.72,94.462,5.60,111.966,6.07,121.394,6.33,126.637,7.13,142.610,7.44,148.734,7.47,149.446,8.42,168.375,8.63,172.594,9.53,190.561,9.82,196.401
"シミュレーション (2,000回)",70.00,らいおん,4830,4977,+147,8,0,41.21,,2.13,10.532,2.13,42.571,2.32,46.377,2.95,59.039,3.31,66.296,4.01,80.249,4.69,93.707,5.52,110.394,6.11,122.186,6.48,129.618,7.01,140.238,7.61,152.217,8.59,171.728,8.36,167.189,9.70,193.983,10.40,207.973,10.81,216.235
"シミュレーション (2,000回)",70.00,いぬ,4810,4957,+147,8,0,38.49,,1.51,11.088,1.51,30.204,2.06,41.249,2.71,54.283,3.13,62.628,3.29,65.814,3.98,79.579,4.63,92.618,5.04,100.798,5.32,106.440,6.30,125.990,7.46,149.147,8.52,170.389,9.24,184.738,11.16,223.124,12.41,248.291,13.24,264.710
"シミュレーション (2,000回)",70.00,ねこ,4790,4937,+147,8,0,35.85,,0.77,11.722,0.77,15.355,1.21,24.102,2.01,40.121,2.38,47.658,2.80,55.994,3.29,65.845,3.91,78.235,4.63,92.580,5.18,103.638,6.29,125.788,7.65,153.085,8.53,170.535,9.05,180.922,10.96,219.208,13.31,266.208,18.04,360.727
