calculationMode,firstPlayerWinRatePercent,playerName,originalElo,effectiveElo,eloDelta,firstPlayerCount,secondPlayerCount,firstPlayerWinRatePercent,secondPlayerWinRatePercent,championshipProbabilityPercent,averagePlace,place1Percent,place1Count,place2Percent,place2Count,place3Percent,place3Count,place4Percent,place4Count,place5Percent,place5Count,place6Percent,place6Count,place7Percent,place7Count,place8Percent,place8Count,place9Percent,place9Count,place10Percent,place10Count,place11Percent,place11Count,place12Percent,place12Count,place13Percent,place13Count,place14Percent,place14Count,place15Percent,place15Count,place16Percent,place16Count
"大会進行フレームワーク / FixedMatch / Twill (889/2,000回, 時間切れ)",70.00,飛,5050,4903,-147,0,8,,61.51,19.07,5.337,19.07,169.500,11.02,98.000,12.39,110.167,8.10,72.000,8.98,79.833,5.66,50.333,6.92,61.500,6.66,59.167,4.16,37.000,3.47,30.833,3.30,29.333,4.54,40.333,2.42,21.500,1.74,15.500,1.46,13.000,0.11,1.000
"大会進行フレームワーク / FixedMatch / Twill (889/2,000回, 時間切れ)",70.00,角,5030,4883,-147,0,8,,58.79,13.52,5.805,13.52,120.167,12.56,111.667,11.42,101.500,11.98,106.500,7.07,62.833,5.32,47.333,6.81,60.500,6.64,59.000,3.84,34.167,3.92,34.833,5.01,44.500,4.16,37.000,1.74,15.500,1.63,14.500,2.81,25.000,1.57,14.000
"大会進行フレームワーク / FixedMatch / Twill (889/2,000回, 時間切れ)",70.00,玉,5010,4863,-147,0,8,,56.03,11.00,6.422,11.00,97.833,9.71,86.333,9.96,88.500,9.34,83.000,7.69,68.333,6.47,57.500,8.38,74.500,7.01,62.333,5.68,50.500,4.46,39.667,5.87,52.167,5.12,45.500,3.81,33.833,2.32,20.667,2.12,18.833,1.07,9.500
"大会進行フレームワーク / FixedMatch / Twill (889/2,000回, 時間切れ)",70.00,金,4990,4843,-147,0,8,,53.22,8.04,7.189,8.04,71.500,6.92,61.500,9.43,83.833,10.74,95.500,6.22,55.333,5.98,53.167,8.49,75.500,8.12,72.167,5.57,49.500,4.48,39.833,5.66,50.333,6.26,55.667,3.97,35.333,3.86,34.333,3.60,32.000,2.64,23.500
"大会進行フレームワーク / FixedMatch / Twill (889/2,000回, 時間切れ)",70.00,銀,4970,4823,-147,0,8,,50.40,5.04,8.008,5.04,44.833,6.73,59.833,6.75,60.000,8.62,76.667,7.56,67.167,6.79,60.333,7.33,65.167,7.16,63.667,6.51,57.833,4.63,41.167,7.01,62.333,5.32,47.333,5.70,50.667,5.62,50.000,5.79,51.500,3.43,30.500
"大会進行フレームワーク / FixedMatch / Twill (889/2,000回, 時間切れ)",70.00,桂,4950,4803,-147,0,8,,47.57,4.82,8.636,4.82,42.833,5.66,50.333,6.22,55.333,5.87,52.167,5.92,52.667,5.74,51.000,7.61,67.667,6.97,62.000,5.76,51.167,5.83,51.833,9.49,84.333,7.46,66.333,5.61,49.833,5.46,48.500,6.41,57.000,5.17,46.000
"大会進行フレームワーク / FixedMatch / Twill (889/2,000回, 時間切れ)",70.00,香,4930,4783,-147,0,8,,44.76,3.64,9.244,3.64,32.333,3.97,35.333,4.71,41.833,5.17,46.000,7.31,65.000,5.27,46.833,6.82,60.667,6.77,60.167,4.76,42.333,6.90,61.333,9.43,83.833,8.57,76.167,4.46,39.667,8.57,76.167,6.79,60.333,6.86,61.000
"大会進行フレームワーク / FixedMatch / Twill (889/2,000回, 時間切れ)",70.00,歩,4910,4763,-147,0,8,,41.98,2.02,9.824,2.02,18.000,2.70,24.000,4.14,36.833,5.87,52.167,5.04,44.833,4.67,41.500,7.59,67.500,8.83,78.500,4.78,42.500,6.47,57.500,6.88,61.167,8.29,73.667,6.37,56.667,8.14,72.333,8.81,78.333,9.39,83.500
"大会進行フレームワーク / FixedMatch / Twill (889/2,000回, 時間切れ)",70.00,きりん,4890,5037,+147,8,0,58.02,,8.74,7.244,8.74,77.667,9.70,86.200,7.46,66.317,6.29,55.883,7.11,63.167,9.18,81.633,6.60,58.683,5.96,52.967,6.90,61.350,6.44,57.217,4.91,43.683,4.80,42.667,5.41,48.100,4.39,39.067,3.62,32.167,2.50,22.233
"大会進行フレームワーク / FixedMatch / Twill (889/2,000回, 時間切れ)",70.00,ぞう,4870,5017,+147,8,0,55.24,,8.00,7.835,8.00,71.083,7.57,67.283,6.68,59.400,5.12,45.517,6.69,59.467,9.22,81.967,6.22,55.300,5.43,48.283,7.85,69.817,7.53,66.917,4.94,43.883,4.56,40.550,6.39,56.783,5.22,46.383,4.46,39.667,4.13,36.700
