participantName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
金,Apex,4990,1,3.363,2.363,23.89,100.00
銀,Apex,4970,2,3.603,1.603,19.76,100.00
桂,Apex,4950,3,3.904,0.904,16.53,100.00
香,Apex,4930,4,4.218,0.218,13.24,100.00
歩,Apex,4910,5,4.520,-0.480,10.80,100.00
きりん,Apex,4870,6,5.150,-0.850,6.71,100.00
ぞう,Apex,4850,7,5.472,-1.528,5.18,100.00
らいおん,Apex,4830,8,5.770,-2.230,3.89,100.00
いぬ,Innov,4810,9,11.638,2.638,0.00,0.00
うさぎ,Innov,4790,10,11.942,1.942,0.00,0.00
ねこ,Innov,4790,11,11.940,0.940,0.00,0.00
いのしし,Innov,4770,12,12.269,0.269,0.00,0.00
ひよこ,Innov,4750,13,12.585,-0.415,0.00,0.00
大ハム,Innov,4730,14,12.905,-1.095,0.00,0.00
中ハム,Innov,4710,15,13.215,-1.785,0.00,0.00
小ハム,Innov,4690,16,13.506,-2.494,0.00,0.00
