participantName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
飛,Apex,5050,1,3.446,2.446,22.69,98.94
角,Apex,5030,2,3.744,1.744,19.00,98.50
玉,Apex,5010,3,4.032,1.032,15.88,97.85
金,Apex,4990,4,4.370,0.370,12.69,96.94
銀,Apex,4970,5,4.706,-0.294,10.06,95.78
桂,Apex,4950,6,4.985,-1.015,8.38,94.35
香,Apex,4930,7,5.362,-1.638,6.30,92.34
歩,Apex,4910,8,5.712,-2.288,5.01,89.59
きりん,Innov,4890,9,11.304,2.304,0.00,10.25
ぞう,Innov,4870,10,11.667,1.667,0.00,7.62
らいおん,Innov,4850,11,11.953,0.953,0.00,5.84
いぬ,Innov,4830,12,12.337,0.337,0.00,4.12
ねこ,Innov,4810,13,12.649,-0.351,0.00,3.06
うさぎ,Innov,4790,14,12.945,-1.055,0.00,2.23
いのしし,Innov,4770,15,13.251,-1.749,0.00,1.54
ひよこ,Innov,4750,16,13.537,-2.463,0.00,1.07
