blackAdvantagePercent,spearmanCorrelation,meanAbsoluteRankError,averageTop8Retention,eloTop1OverallTop1ProbabilityPercent,mostPenalizedParticipant,mostPenalizedDelta,mostAdvantagedParticipant,mostAdvantagedDelta
50.00,1.000000,1.355380,7.650735,22.805280,飛,2.453059,ひよこ,-2.460216
55.00,1.000000,1.328368,7.603614,23.499690,飛,2.422430,ひよこ,-2.395050
60.00,1.000000,1.307471,7.554577,23.745161,飛,2.396662,ひよこ,-2.396760
65.00,1.000000,1.289007,7.502174,24.586405,飛,2.349117,ひよこ,-2.355390
70.00,1.000000,1.281433,7.447446,25.045357,飛,2.341343,ひよこ,-2.365687
75.00,1.000000,1.282185,7.389554,25.141827,飛,2.349374,ひよこ,-2.335418
80.00,1.000000,1.292017,7.326953,24.976833,飛,2.373427,ひよこ,-2.352517
85.00,1.000000,1.324966,7.261126,24.707929,飛,2.409744,ひよこ,-2.427379
90.00,1.000000,1.395817,7.189089,23.826714,飛,2.534849,ひよこ,-2.521245
evaluationMemo,,,,,,,かなり良い組み合わせを50から90まで5刻みで確認,
