participantName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
金,Apex,4990,1,3.329,2.329,23.46,100.00
銀,Apex,4970,2,3.619,1.619,19.94,100.00
桂,Apex,4950,3,3.885,0.885,16.62,100.00
香,Apex,4930,4,4.190,0.190,13.55,100.00
歩,Apex,4910,5,4.514,-0.486,10.69,100.00
きりん,Apex,4870,6,5.174,-0.826,6.77,100.00
ぞう,Apex,4850,7,5.480,-1.520,5.03,100.00
らいおん,Apex,4830,8,5.809,-2.191,3.93,100.00
いぬ,Innov,4810,9,11.624,2.624,0.00,0.00
うさぎ,Innov,4790,10,11.951,1.951,0.00,0.00
ねこ,Innov,4790,11,11.929,0.929,0.00,0.00
いのしし,Innov,4770,12,12.263,0.263,0.00,0.00
ひよこ,Innov,4750,13,12.632,-0.368,0.00,0.00
大ハム,Innov,4730,14,12.923,-1.077,0.00,0.00
中ハム,Innov,4710,15,13.188,-1.812,0.00,0.00
小ハム,Innov,4690,16,13.489,-2.511,0.00,0.00
