playerName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
圭,Apex,5110,1,3.479,2.479,22.18,98.94
杏,Apex,5090,2,3.746,1.746,19.21,98.48
と,Apex,5070,3,4.061,1.061,15.49,97.83
飛,Apex,5050,4,4.348,0.348,12.90,97.06
角,Apex,5030,5,4.650,-0.350,10.76,95.94
玉,Apex,5010,6,5.015,-0.985,8.17,94.32
金,Apex,4990,7,5.339,-1.661,6.30,92.41
銀,Apex,4970,8,5.717,-2.283,4.99,89.48
桂,Innov,4950,9,11.125,1.125,0.00,11.26
香,Innov,4930,10,11.440,0.440,0.00,8.54
歩,Innov,4910,11,11.795,-0.205,0.00,6.27
きりん,Innov,4870,12,12.434,-0.566,0.00,3.48
ぞう,Innov,4850,13,12.771,-1.229,0.00,2.29
らいおん,Innov,4830,14,13.083,-1.917,0.00,1.69
いぬ,Innov,4810,15,13.353,-2.647,0.00,1.17
ねこ,Innov,4790,16,13.643,-3.357,0.00,0.84
